pue,rt_load,time,compute,cooling,cop,kwrt,potential_rt,total,allow_discharge,max_compute,max_cooling,nostromo_cooling,charging_placeholder,total_max,cust_cooling_rt,nostromo_cooling_rt
1.4496495333333332,2045.5530666666666,2025-08-19 00:00:00,7.194210135466666,2.4348732301145226,2.954654906254931,1.1903251349437114,2978.7395415703377,10.429083365581189,False,10.322315258333434,3.493577282572441,0.0,1.584107459094123,16.2,2934.9773267936976,0.0
1.4469315999999999,2039.3116666666667,2025-08-19 00:15:00,7.172259131666666,2.405509249330393,2.981596987691136,1.1795692088901206,3005.9012392482414,10.377768380997061,False,10.300364254533434,3.454646720216116,0.0,1.6449890252504482,16.2,2928.7359267936977,0.0
1.4385278666666668,2059.023333333333,2025-08-19 00:30:00,7.241585063333332,2.3756368491087647,3.0482710629994054,1.153768784767907,3073.1188029975438,10.417221912442098,False,10.3696901862001,3.401826796858624,0.0,1.6284830169412752,16.2,2948.4475934603643,0.0
1.4408754666666668,2069.419733333333,2025-08-19 00:45:00,7.278149202133332,2.408757425960161,3.021536798887987,1.1639772189087214,3046.1666166508803,10.486906628093493,False,10.4062543250001,3.4440270026927697,0.0,1.5497186723071286,16.2,2958.843993460364,0.0
1.4522287333333332,2047.3402666666666,2025-08-19 01:00:00,7.200495717866667,2.4562710578629323,2.931474396857253,1.1997375804374997,2955.370078087333,10.4567667757296,False,10.328600840733435,3.5233467676901498,0.0,1.5480523915764142,16.2,2936.7645267936973,0.0
1.4371233333333333,2059.8064666666664,2025-08-19 01:15:00,7.244339343266665,2.366669761526535,3.0609844520910117,1.148976760596571,3085.9358242728085,10.411009104793202,False,10.372444466133434,3.388597566723293,0.0,1.6389579671432717,16.2,2949.2307267936976,0.0
1.4394431333333335,2072.813466666667,2025-08-19 01:30:00,7.2900849622666675,2.4035777780846805,3.033013963074604,1.1595726372570911,3057.7373360318124,10.493662740351349,False,10.418190085133435,3.434929813040619,0.0,1.546880101825944,16.2,2962.2377267936986,0.0
1.4377111999999999,2065.187733333333,2025-08-19 01:45:00,7.263265258133332,2.37921255205585,3.0528021768619324,1.152056306385116,3077.6868518756364,10.442477810189182,False,10.391370381000101,3.403879379987112,0.0,1.6047502390127857,16.2,2954.6119934603644,0.0
1.4494082666666666,2053.805,2025-08-19 02:00:00,7.223232184999999,2.4461802559917283,2.9528617800373675,1.1910479602453634,2976.9317988265148,10.469412440991729,False,10.351337307866768,3.50552720680877,0.0,1.543135485324461,16.2,2943.22926012703,0.0
1.4597168666666667,2068.3568,2025-08-19 02:15:00,7.2744108656,2.5441693699795866,2.8592478753324375,1.2300437574308196,2882.554807796175,10.618580235579588,False,10.402515988466767,3.638200128856367,0.0,1.3592838826768645,16.2,2957.781060127031,0.0
